district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,10,9,124,2023-02-05,300,100,64,65.3,0.8,24,17.3,23.5,28.4,28.6,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,0,1,10,2023-02-05,21,7,266.7,233.3,-9.1,43,0.7,1.6,2.5,2.3,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,292,303,3548,2023-02-05,9618,3206,29.7,29.3,-0.3,11,632.5,764.1,820.4,817.8,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,31,51,579,2023-02-05,1385,461.7,108.7,101.7,-3.3,25,66.2,115,138.1,133.5,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,41,61,713,2023-02-05,1706,568.7,100.8,95.3,-2.7,25,84.1,140.1,169,164.4,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,29,41,519,2023-02-05,1199,399.7,118.5,113.6,-2.3,30,56,98,122.4,119.6,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,13,17,259,2023-02-05,596,198.7,124.8,121.4,-1.5,30,27,49.8,60.6,59.7,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,219,194,2191,2023-02-05,6438,2146,3.3,4.5,1.2,2,483.4,501.4,499.3,505,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,14,15,157,2023-02-05,578,192.7,-22.2,-22.7,-0.6,-19,46.8,50,36.4,36.2,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,250,325,2618,2023-02-05,7924,2641.3,-4.3,-7,-2.8,-1,648.7,557.1,620.8,603.5,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,96,172,1033,2023-02-05,2948,982.7,7.3,-0.1,-6.9,5,238.3,185.6,255.6,238.1,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,14,2,124,2023-02-05,425,141.7,-20,-11.4,10.7,-12,32.3,39.9,25.8,28.6,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,90,69,805,2023-02-05,3008,1002.7,-37.4,-35.7,2.7,-20,288.6,224.1,180.7,185.6,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,4,8,68,2023-02-05,237,79,-18.2,-22.7,-5.6,-14,20.3,17.7,16.6,15.7,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,4,7,92,2023-02-05,281,93.7,-2.1,-5.2,-3.2,-2,22.4,20.5,21.9,21.2,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,42,67,496,2023-02-05,1025,341.7,156.7,144.3,-4.8,45,46.8,69.4,120.1,114.3,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,1043,1171,10069,2023-02-05,33874,11291.3,-32,-32.8,-1.3,-11,3454.9,2002.9,2350.5,2321,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,837,916,8100,2023-02-05,26764,8921.3,-33.8,-34.5,-1,-9,2850,1434,1885.3,1867.1,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,49,111,993,2023-02-05,4111,1370.3,-41.7,-45.1,-5.9,-28,417,287.4,243.2,228.9,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,132,132,670,2023-02-05,2251,750.3,7.5,7.5,0,-11,143.6,220.8,154.4,154.4,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,9,9,166,2023-02-05,525,175,-1.2,-1.2,0,-5,38.7,44,38.3,38.3,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,16,3,140,2023-02-05,223,74.3,429.2,483.3,10.2,88,5.5,16.6,29.3,32.3,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,1197,990,9217,2023-02-05,24214,8071.3,39,42.2,2.3,14,1494.2,2010.5,2076.9,2124.6,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,448,761,5873,2023-02-05,19928,6642.7,-20.4,-24.4,-5.1,-12,1790.6,1377.1,1425.9,1353.8,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,11,19,162,2023-02-05,515,171.7,11.8,6.6,-4.7,-6,35,44.5,39.2,37.3,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,3265,3594,31778,2023-02-05,96972,32324,-8.9,-9.8,-1,-2,8120.6,6831.4,7400.9,7325.1,7451
