district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,5,5,123,2023-01-15,300,100,64,64,0,23,17.3,23.5,28.4,28.4,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,0,1,10,2023-01-15,21,7,266.7,233.3,-9.1,43,0.7,1.6,2.5,2.3,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,103,137,3525,2023-01-15,9618,3206,29.7,28.5,-1,10,632.5,764.1,820.4,812.5,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,10,19,590,2023-01-15,1385,461.7,108.7,105.6,-1.5,28,66.2,115,138.1,136,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,15,25,723,2023-01-15,1706,568.7,100.8,98.1,-1.4,27,84.1,140.1,169,166.7,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,12,17,526,2023-01-15,1199,399.7,118.5,116.5,-0.9,32,56,98,122.4,121.2,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,5,12,256,2023-01-15,596,198.7,124.8,118.8,-2.7,29,27,49.8,60.6,59,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,76,89,2153,2023-01-15,6438,2146,3.3,2.7,-0.6,0,483.4,501.4,499.3,496.3,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,5,6,157,2023-01-15,578,192.7,-22.2,-22.7,-0.6,-19,46.8,50,36.4,36.2,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,80,147,2626,2023-01-15,7924,2641.3,-4.3,-6.7,-2.5,-1,648.7,557.1,620.8,605.3,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,28,92,1045,2023-01-15,2948,982.7,7.3,1.1,-5.8,6,238.3,185.6,255.6,240.9,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,4,2,114,2023-01-15,425,141.7,-20,-18.6,1.8,-20,32.3,39.9,25.8,26.3,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,32,26,790,2023-01-15,3008,1002.7,-37.4,-36.9,0.8,-21,288.6,224.1,180.7,182.1,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,0,1,71,2023-01-15,237,79,-18.2,-19.3,-1.4,-10,20.3,17.7,16.6,16.4,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,1,2,94,2023-01-15,281,93.7,-2.1,-3.1,-1.1,0,22.4,20.5,21.9,21.7,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,15,24,512,2023-01-15,1025,341.7,156.7,152.2,-1.7,50,46.8,69.4,120.1,118,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,156,481,9872,2023-01-15,33874,11291.3,-32,-34.1,-3.2,-13,3454.9,2002.9,2350.5,2275.6,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,95,378,7896,2023-01-15,26764,8921.3,-33.8,-36.1,-3.5,-11,2850,1434,1885.3,1820.1,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,17,59,1013,2023-01-15,4111,1370.3,-41.7,-44,-4,-26,417,287.4,243.2,233.5,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,39,38,671,2023-01-15,2251,750.3,7.5,7.7,0.1,-11,143.6,220.8,154.4,154.7,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,2,5,163,2023-01-15,525,175,-1.2,-3,-1.8,-7,38.7,44,38.3,37.6,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,3,1,129,2023-01-15,223,74.3,429.2,437.5,1.6,74,5.5,16.6,29.3,29.7,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,404,429,8985,2023-01-15,24214,8071.3,39,38.6,-0.3,11,1494.2,2010.5,2076.9,2071.1,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,148,319,6015,2023-01-15,19928,6642.7,-20.4,-22.6,-2.8,-9,1790.6,1377.1,1425.9,1386.5,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,2,8,164,2023-01-15,515,171.7,11.8,7.9,-3.5,-4,35,44.5,39.2,37.8,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,903,1533,31477,2023-01-15,96972,32324,-8.9,-10.7,-2,-3,8120.6,6831.4,7400.9,7255.7,7451
