district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,8,8,123,2023-01-29,300,100,64,64,0,23,17.3,23.5,28.4,28.4,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,0,1,10,2023-01-29,21,7,266.7,233.3,-9.1,43,0.7,1.6,2.5,2.3,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,223,258,3524,2023-01-29,9618,3206,29.7,28.4,-1,10,632.5,764.1,820.4,812.3,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,21,44,576,2023-01-29,1385,461.7,108.7,100.7,-3.8,25,66.2,115,138.1,132.8,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,29,53,709,2023-01-29,1706,568.7,100.8,94.2,-3.3,25,84.1,140.1,169,163.4,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,23,33,521,2023-01-29,1199,399.7,118.5,114.4,-1.9,30,56,98,122.4,120.1,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,10,17,256,2023-01-29,596,198.7,124.8,118.8,-2.7,29,27,49.8,60.6,59,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,169,164,2171,2023-01-29,6438,2146,3.3,3.5,0.2,1,483.4,501.4,499.3,500.4,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,11,14,155,2023-01-29,578,192.7,-22.2,-23.6,-1.9,-20,46.8,50,36.4,35.7,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,190,280,2603,2023-01-29,7924,2641.3,-4.3,-7.5,-3.3,-1,648.7,557.1,620.8,600,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,69,157,1021,2023-01-29,2948,982.7,7.3,-1.3,-7.9,4,238.3,185.6,255.6,235.3,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,11,2,121,2023-01-29,425,141.7,-20,-13.6,8,-15,32.3,39.9,25.8,27.9,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,71,57,798,2023-01-29,3008,1002.7,-37.4,-36.3,1.8,-20,288.6,224.1,180.7,183.9,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,4,5,71,2023-01-29,237,79,-18.2,-19.3,-1.4,-10,20.3,17.7,16.6,16.4,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,4,5,94,2023-01-29,281,93.7,-2.1,-3.1,-1.1,0,22.4,20.5,21.9,21.7,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,31,54,498,2023-01-29,1025,341.7,156.7,145.3,-4.4,46,46.8,69.4,120.1,114.8,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,518,954,9761,2023-01-29,33874,11291.3,-32,-34.9,-4.3,-14,3454.9,2002.9,2350.5,2250,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,375,741,7813,2023-01-29,26764,8921.3,-33.8,-36.8,-4.5,-12,2850,1434,1885.3,1801,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,37,93,999,2023-01-29,4111,1370.3,-41.7,-44.8,-5.3,-27,417,287.4,243.2,230.3,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,96,110,656,2023-01-29,2251,750.3,7.5,5.3,-2.1,-13,143.6,220.8,154.4,151.2,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,4,8,162,2023-01-29,525,175,-1.2,-3.6,-2.4,-7,38.7,44,38.3,37.3,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,6,2,131,2023-01-29,223,74.3,429.2,445.8,3.1,76,5.5,16.6,29.3,30.2,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,882,785,9107,2023-01-29,24214,8071.3,39,40.5,1.1,13,1494.2,2010.5,2076.9,2099.2,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,331,601,5916,2023-01-29,19928,6642.7,-20.4,-23.8,-4.4,-11,1790.6,1377.1,1425.9,1363.7,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,10,13,167,2023-01-29,515,171.7,11.8,9.9,-1.8,-3,35,44.5,39.2,38.5,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,2173,2914,31366,2023-01-29,96972,32324,-8.9,-11,-2.3,-3,8120.6,6831.4,7400.9,7230.1,7451
