year,clearance
2000,20.6
2001,14.8
2002,13
2003,14.2
2004,14.3
2005,12.5
2006,13.3
2007,13.2
2008,17.9
2009,16.4
2010,13.2
2011,13
2012,8.6
2013,8
2014,11
2015,9.5
2016,16.3
2017,11.9
2018,10.6
2019,5.6
2020,18.1
2021,7.3
