year,clearance
2000,9.1
2001,7.7
2002,5.5
2003,6.4
2004,4
2005,3
2006,3.7
2007,5.3
2008,4.7
2009,3.6
2010,3.7
2011,2.7
2012,1.8
2013,2.7
2014,3.1
2015,3.4
2016,3.6
2017,2.2
2018,3.7
2019,2.2
2020,1.7
2021,1.5
