year,clearance
2000,9.8
2001,9.8
2002,9.2
2003,8
2004,4.2
2005,5.7
2006,5.1
2007,3.6
2008,2.7
2009,1.3
2010,1.7
2011,1.8
2012,1.3
2013,1.7
2014,1.2
2015,2.6
2016,3.5
2017,0.8
2018,0.6
2019,0.2
2020,0.5
2021,0.8
