year,clearance
2000,40.9
2001,51.2
2002,34.1
2003,41.4
2004,26.7
2005,6.5
2006,36.6
2007,27.4
2008,33.4
2009,50.3
2010,36.2
2011,34.7
2012,50.2
2013,43.9
2014,50.7
2015,71.6
2016,84.1
2017,62.7
2018,12.5
2019,16.4
2020,11.9
2021,12.8
