year,clearance
2000,50
2001,38.1
2002,32.4
2003,51.4
2004,34.9
2005,12.9
2006,30.3
2007,25.2
2008,24.3
2009,49
2010,52.2
2011,35.6
2012,36.5
2013,34.4
2014,62.5
2015,38.8
2016,51.8
2017,60.9
2018,40
2019,52.6
2020,47.1
2021,36.2
