year,clearance
2000,9.3
2001,8.5
2002,7
2003,8
2004,5.4
2005,5.3
2006,5.8
2007,5.5
2008,4.7
2009,3.1
2010,2.8
2011,2.5
2012,2.4
2013,3
2014,3
2015,3.2
2016,4
2017,1.3
2018,1.6
2019,0.4
2020,1.4
2021,1.8
