year,clearance
2000,45.4
2001,57.2
2002,47.6
2003,38.9
2004,41.4
2005,33.1
2006,40.5
2007,30.9
2008,39.1
2009,36.5
2010,40.6
2011,33
2012,26.3
2013,33.1
2014,33.6
2015,43.5
2016,44.4
2017,37.8
2018,20.4
2019,11.3
2020,16.2
2021,17.9
