category,total17,total18,total19,total20,total21,district
Homicide – 187(a)PC,71,67,75,102,123,Citywide
Homicide – All Other *,4,8,3,7,11,Citywide
Aggravated Assault,0,0,0,0,0,Citywide
Assault with a firearm – 245(a)(2)PC,279,276,287,499,599,Citywide
Subtotal - Homicides + Firearm Assault,354,351,365,608,733,Citywide
Shooting occupied home or vehicle – 246PC,196,217,243,425,531,Citywide
Non-firearm aggravated assaults,0,0,0,0,0,Citywide
Rape,249,230,203,217,158,Citywide
Robbery,0,0,0,0,0,Citywide
Firearm,989,0,0,0,959,Citywide
Knife,160,174,140,173,112,Citywide
Strong-arm,0,972,784,0,0,Citywide
Other dangerous weapon,89,87,88,77,72,Citywide
Residential robbery – 212.5(a)PC,101,72,97,89,95,Citywide
Carjacking – 215(a) PC,195,176,203,301,521,Citywide
Burglary,0,0,0,0,0,Citywide
Auto,0,0,0,0,0,Citywide
Residential,0,0,0,0,0,Citywide
Commercial,417,606,623,958,670,Citywide
"Other (includes boats, aircraft, and so on)",137,129,168,191,166,Citywide
Unknown,70,33,24,72,127,Citywide
Motor Vehicle Theft,0,0,0,0,0,Citywide
Larceny,0,0,0,0,0,Citywide
Arson,151,196,152,193,170,Citywide
Total,0,0,0,0,0,Citywide
Homicide – 187(a)PC,12,13,14,9,16,Area 1
Homicide – All Other *,1,3,0,1,1,Area 1
Aggravated Assault,521,545,532,552,606,Area 1
Assault with a firearm – 245(a)(2)PC,34,54,48,65,84,Area 1
Subtotal - Homicides + Firearm Assault,47,70,62,75,101,Area 1
Shooting occupied home or vehicle – 246PC,28,38,49,55,79,Area 1
Non-firearm aggravated assaults,450,446,422,404,406,Area 1
Rape,41,49,47,56,40,Area 1
Robbery,552,582,584,410,361,Area 1
Firearm,180,165,187,92,131,Area 1
Knife,32,37,33,25,15,Area 1
Strong-arm,284,314,306,217,134,Area 1
Other dangerous weapon,14,25,14,15,11,Area 1
Residential robbery – 212.5(a)PC,17,14,16,11,13,Area 1
Carjacking – 215(a) PC,25,27,28,50,57,Area 1
Burglary,3729,3405,4270,1963,3307,Area 1
Auto,3285,3022,3883,1473,2882,Area 1
Residential,268,190,201,201,173,Area 1
Commercial,134,162,142,226,167,Area 1
"Other (includes boats, aircraft, and so on)",36,28,41,48,49,Area 1
Unknown,6,3,3,15,36,Area 1
Motor Vehicle Theft,931,884,830,1112,1195,Area 1
Larceny,1553,1611,1831,1152,1254,Area 1
Arson,41,56,36,37,30,Area 1
Total,7381,7148,8144,5292,6810,Area 1
Homicide – 187(a)PC,6,6,3,3,11,Area 2
Homicide – All Other *,0,1,0,1,1,Area 2
Aggravated Assault,273,256,261,284,314,Area 2
Assault with a firearm – 245(a)(2)PC,18,8,11,26,47,Area 2
Subtotal - Homicides + Firearm Assault,24,15,14,30,59,Area 2
Shooting occupied home or vehicle – 246PC,11,10,8,16,18,Area 2
Non-firearm aggravated assaults,239,234,234,240,237,Area 2
Rape,25,35,21,29,24,Area 2
Robbery,438,344,469,329,308,Area 2
Firearm,186,133,219,89,106,Area 2
Knife,28,17,16,37,19,Area 2
Strong-arm,178,159,190,162,120,Area 2
Other dangerous weapon,13,10,15,10,18,Area 2
Residential robbery – 212.5(a)PC,12,10,12,10,9,Area 2
Carjacking – 215(a) PC,21,15,17,21,36,Area 2
Burglary,4011,2840,4552,2535,2782,Area 2
Auto,3307,2231,3892,1825,2187,Area 2
Residential,574,450,485,434,364,Area 2
Commercial,97,128,144,218,168,Area 2
"Other (includes boats, aircraft, and so on)",17,27,30,38,34,Area 2
Unknown,16,4,1,20,29,Area 2
Motor Vehicle Theft,964,762,786,1180,1426,Area 2
Larceny,1449,1421,1774,1349,1446,Area 2
Arson,11,14,14,20,20,Area 2
Total,7177,5679,7880,5730,6332,Area 2
Homicide – 187(a)PC,10,10,14,22,27,Area 3
Homicide – All Other *,0,3,1,1,2,Area 3
Aggravated Assault,376,380,452,599,624,Area 3
Assault with a firearm – 245(a)(2)PC,39,42,49,100,128,Area 3
Subtotal - Homicides + Firearm Assault,49,55,64,123,157,Area 3
Shooting occupied home or vehicle – 246PC,23,26,39,61,86,Area 3
Non-firearm aggravated assaults,303,295,345,399,373,Area 3
Rape,67,45,44,46,28,Area 3
Robbery,565,628,646,623,821,Area 3
Firearm,224,211,218,203,335,Area 3
Knife,31,46,31,48,29,Area 3
Strong-arm,227,298,295,244,233,Area 3
Other dangerous weapon,18,16,21,20,13,Area 3
Residential robbery – 212.5(a)PC,24,16,38,25,27,Area 3
Carjacking – 215(a) PC,41,41,43,83,184,Area 3
Burglary,1787,1558,1999,1614,1302,Area 3
Auto,1265,989,1343,1113,876,Area 3
Residential,431,430,517,261,229,Area 3
Commercial,55,101,102,185,147,Area 3
"Other (includes boats, aircraft, and so on)",24,28,30,43,29,Area 3
Unknown,12,10,7,12,21,Area 3
Motor Vehicle Theft,1405,1370,1533,2026,1842,Area 3
Larceny,976,1210,1337,1280,1262,Area 3
Arson,21,23,17,44,31,Area 3
Total,5207,5227,6043,6255,5939,Area 3
Homicide – 187(a)PC,13,17,13,25,27,Area 4
Homicide – All Other *,1,1,2,0,2,Area 4
Aggravated Assault,548,574,579,691,751,Area 4
Assault with a firearm – 245(a)(2)PC,62,46,59,101,132,Area 4
Subtotal - Homicides + Firearm Assault,76,64,74,126,161,Area 4
Shooting occupied home or vehicle – 246PC,45,53,53,106,113,Area 4
Non-firearm aggravated assaults,419,453,444,440,449,Area 4
Rape,46,31,26,28,23,Area 4
Robbery,569,501,575,485,595,Area 4
Firearm,218,178,207,171,269,Area 4
Knife,41,42,37,40,27,Area 4
Strong-arm,214,220,249,186,153,Area 4
Other dangerous weapon,26,16,18,17,12,Area 4
Residential robbery – 212.5(a)PC,23,12,17,14,19,Area 4
Carjacking – 215(a) PC,47,33,47,57,115,Area 4
Burglary,1079,961,1100,859,611,Area 4
Auto,689,566,673,508,334,Area 4
Residential,274,255,271,143,141,Area 4
Commercial,68,115,126,176,96,Area 4
"Other (includes boats, aircraft, and so on)",28,17,25,23,24,Area 4
Unknown,20,8,5,9,16,Area 4
Motor Vehicle Theft,1472,1351,1468,1876,1994,Area 4
Larceny,871,954,1133,922,874,Area 4
Arson,32,38,28,31,33,Area 4
Total,4631,4428,4924,4917,4910,Area 4
Homicide – 187(a)PC,30,21,31,43,42,Area 5
Homicide – All Other *,2,0,0,4,5,Area 5
Aggravated Assault,769,828,875,1112,1194,Area 5
Assault with a firearm – 245(a)(2)PC,120,118,114,191,192,Area 5
Subtotal - Homicides + Firearm Assault,152,139,145,238,239,Area 5
Shooting occupied home or vehicle – 246PC,89,89,92,180,232,Area 5
Non-firearm aggravated assaults,531,588,618,639,655,Area 5
Rape,51,49,41,34,28,Area 5
Robbery,466,482,488,546,557,Area 5
Firearm,171,157,186,236,243,Area 5
Knife,28,26,20,23,21,Area 5
Strong-arm,166,200,187,160,132,Area 5
Other dangerous weapon,18,20,18,13,18,Area 5
Residential robbery – 212.5(a)PC,25,19,14,27,25,Area 5
Carjacking – 215(a) PC,58,60,63,87,118,Area 5
Burglary,1546,1304,2278,1176,1429,Area 5
Auto,1084,903,1811,797,1174,Area 5
Residential,355,271,316,184,128,Area 5
Commercial,63,97,106,145,83,Area 5
"Other (includes boats, aircraft, and so on)",28,26,38,34,24,Area 5
Unknown,16,7,7,16,20,Area 5
Motor Vehicle Theft,2037,1745,1761,2403,2423,Area 5
Larceny,1148,1207,1412,1079,1113,Area 5
Arson,42,62,53,59,56,Area 5
Total,6091,5698,6939,6456,6847,Area 5
