category,total17,total18,total19,total20,total21,district
Homicide – 187(a)PC,3,86,108,105,0,Citywide
Homicide – All Other *,0,6,9,2,0,Citywide
Aggravated Assault,56,2738,3083,2645,0,Citywide
Assault with a firearm – 245(a)(2)PC,13,390,525,401,0,Citywide
Subtotal - Homicides + Firearm Assault,16,482,642,508,0,Citywide
Shooting occupied home or vehicle – 246PC,4,335,470,298,0,Citywide
Non-firearm aggravated assaults,36,1842,1850,1804,0,Citywide
Rape,2,194,132,143,0,Citywide
Robbery,32,1893,2232,2262,0,Citywide
Firearm,15,580,907,948,0,Citywide
Knife,1,143,97,86,0,Citywide
Strong-arm,7,815,664,642,0,Citywide
Other dangerous weapon,3,68,60,73,0,Citywide
Residential robbery – 212.5(a)PC,1,70,81,50,0,Citywide
Carjacking – 215(a) PC,5,217,423,463,0,Citywide
Burglary,35,7650,8366,9375,0,Citywide
Auto,19,5508,6747,7250,0,Citywide
Residential,4,1082,895,849,0,Citywide
Commercial,5,851,516,1038,0,Citywide
"Other (Includes boats, aircraft, and so on)",2,153,148,115,0,Citywide
Unknown,5,56,60,123,0,Citywide
Motor Vehicle Theft,111,7398,7628,7958,0,Citywide
Larceny,40,5161,5202,5969,0,Citywide
Arson,2,168,150,145,0,Citywide
Total,281,25294,26910,28604,0,Citywide
Homicide – 187(a)PC,0,8,12,28,0,Area 1
Homicide – All Other *,0,1,1,1,0,Area 1
Aggravated Assault,12,457,538,496,0,Area 1
Assault with a firearm – 245(a)(2)PC,1,50,79,73,0,Area 1
Subtotal - Homicides + Firearm Assault,1,59,92,102,0,Area 1
Shooting occupied home or vehicle – 246PC,1,43,74,41,0,Area 1
Non-firearm aggravated assaults,9,341,347,359,0,Area 1
Rape,0,49,35,31,0,Area 1
Robbery,7,338,304,288,0,Area 1
Firearm,1,79,107,103,0,Area 1
Knife,0,24,12,10,0,Area 1
Strong-arm,4,181,119,105,0,Area 1
Other dangerous weapon,1,13,8,18,0,Area 1
Residential robbery – 212.5(a)PC,1,8,10,4,0,Area 1
Carjacking – 215(a) PC,0,33,48,48,0,Area 1
Burglary,6,1736,2846,2718,0,Area 1
Auto,6,1306,2511,2272,0,Area 1
Residential,0,178,145,148,0,Area 1
Commercial,0,202,130,249,0,Area 1
"Other (Includes boats, aircraft, and so on)",0,38,45,25,0,Area 1
Unknown,0,12,15,24,0,Area 1
Motor Vehicle Theft,25,916,1014,1186,0,Area 1
Larceny,9,984,1057,1307,0,Area 1
Arson,0,32,26,35,0,Area 1
Total,59,4521,5833,6090,0,Area 1
Homicide – 187(a)PC,0,2,6,3,0,Area 2
Homicide – All Other *,0,1,0,0,0,Area 2
Aggravated Assault,7,217,239,221,0,Area 2
Assault with a firearm – 245(a)(2)PC,0,24,37,25,0,Area 2
Subtotal - Homicides + Firearm Assault,0,27,43,28,0,Area 2
Shooting occupied home or vehicle – 246PC,1,12,16,8,0,Area 2
Non-firearm aggravated assaults,6,179,178,185,0,Area 2
Rape,0,27,11,13,0,Area 2
Robbery,4,212,195,215,0,Area 2
Firearm,2,48,69,82,0,Area 2
Knife,0,26,8,4,0,Area 2
Strong-arm,1,111,75,84,0,Area 2
Other dangerous weapon,1,8,15,8,0,Area 2
Residential robbery – 212.5(a)PC,0,8,7,3,0,Area 2
Carjacking – 215(a) PC,0,11,21,34,0,Area 2
Burglary,8,1860,1779,2159,0,Area 2
Auto,4,1373,1405,1629,0,Area 2
Residential,0,286,223,237,0,Area 2
Commercial,2,160,112,253,0,Area 2
"Other (Includes boats, aircraft, and so on)",0,26,23,16,0,Area 2
Unknown,2,15,16,24,0,Area 2
