category,total17,total18,total19,total20,total21,district
Motor Vehicle Theft,12,826,970,982,0,Area 2
Larceny,6,997,962,1256,0,Area 2
Arson,0,18,15,14,0,Area 2
Total,37,4160,4177,4863,0,Area 2
Homicide – 187(a)PC,0,10,20,17,0,Area 3
Homicide – All Other *,0,0,0,0,0,Area 3
Aggravated Assault,6,320,330,362,0,Area 3
Assault with a firearm – 245(a)(2)PC,4,57,77,72,0,Area 3
Subtotal - Homicides + Firearm Assault,4,67,97,89,0,Area 3
Shooting occupied home or vehicle – 246PC,0,24,33,31,0,Area 3
Non-firearm aggravated assaults,2,219,192,240,0,Area 3
Rape,1,27,22,25,0,Area 3
Robbery,7,317,483,475,0,Area 3
Firearm,4,92,183,210,0,Area 3
Knife,0,30,20,17,0,Area 3
Strong-arm,0,143,151,119,0,Area 3
Other dangerous weapon,1,6,11,11,0,Area 3
Residential robbery – 212.5(a)PC,0,13,17,8,0,Area 3
Carjacking – 215(a) PC,2,33,101,110,0,Area 3
Burglary,7,1167,1163,1150,0,Area 3
Auto,4,779,861,803,0,Area 3
Residential,0,236,205,148,0,Area 3
Commercial,1,125,74,157,0,Area 3
"Other (Includes boats, aircraft, and so on)",1,22,18,19,0,Area 3
Unknown,1,5,5,23,0,Area 3
Motor Vehicle Theft,11,1198,1116,1102,0,Area 3
Larceny,6,819,828,746,0,Area 3
Arson,1,26,19,16,0,Area 3
Total,39,3884,3981,3893,0,Area 3
Homicide – 187(a)PC,1,16,17,20,0,Area 4
Homicide – All Other *,0,1,1,0,0,Area 4
Aggravated Assault,12,434,484,392,0,Area 4
Assault with a firearm – 245(a)(2)PC,4,43,75,52,0,Area 4
Subtotal - Homicides + Firearm Assault,5,60,93,72,0,Area 4
Shooting occupied home or vehicle – 246PC,1,51,67,53,0,Area 4
Non-firearm aggravated assaults,7,316,311,265,0,Area 4
Rape,0,27,18,14,0,Area 4
Robbery,6,406,530,515,0,Area 4
Firearm,4,104,244,225,0,Area 4
Knife,0,36,23,19,0,Area 4
Strong-arm,1,178,136,147,0,Area 4
Other dangerous weapon,0,21,7,9,0,Area 4
Residential robbery – 212.5(a)PC,0,16,16,14,0,Area 4
Carjacking – 215(a) PC,1,51,104,101,0,Area 4
Burglary,8,1055,700,508,0,Area 4
Auto,3,698,433,211,0,Area 4
Residential,2,155,142,126,0,Area 4
Commercial,1,164,93,135,0,Area 4
"Other (Includes boats, aircraft, and so on)",0,29,26,13,0,Area 4
Unknown,2,9,6,23,0,Area 4
Motor Vehicle Theft,23,1327,1344,1294,0,Area 4
Larceny,11,845,870,787,0,Area 4
Arson,0,22,23,17,0,Area 4
Total,61,4133,3987,3547,0,Area 4
Homicide – 187(a)PC,0,23,25,16,0,Area 5
Homicide – All Other *,0,0,2,1,0,Area 5
Aggravated Assault,8,704,765,592,0,Area 5
Assault with a firearm – 245(a)(2)PC,2,108,112,79,0,Area 5
Subtotal - Homicides + Firearm Assault,2,131,139,96,0,Area 5
Shooting occupied home or vehicle – 246PC,1,113,159,89,0,Area 5
Non-firearm aggravated assaults,4,431,418,386,0,Area 5
Rape,0,20,16,22,0,Area 5
Robbery,4,310,362,346,0,Area 5
Firearm,1,121,144,151,0,Area 5
Knife,1,16,20,20,0,Area 5
Strong-arm,0,110,105,80,0,Area 5
Other dangerous weapon,0,11,10,13,0,Area 5
Residential robbery – 212.5(a)PC,0,10,12,6,0,Area 5
Carjacking – 215(a) PC,2,42,71,76,0,Area 5
Burglary,1,552,404,335,0,Area 5
Auto,0,325,236,136,0,Area 5
Residential,1,111,97,77,0,Area 5
Commercial,0,97,49,96,0,Area 5
"Other (Includes boats, aircraft, and so on)",0,12,15,10,0,Area 5
Unknown,0,7,7,16,0,Area 5
Motor Vehicle Theft,21,1563,1599,1702,0,Area 5
Larceny,3,688,650,605,0,Area 5
Arson,0,27,29,22,0,Area 5
Total,37,3887,3852,3641,0,Area 5
